Threads Archivos , Threads Maximo , Tiempo En Cargar Archivos, Tiempo en buscar Maximo, Tiempo de Programa, cantidad de archivos
1, 1, 0.019ms, 0.224ms, 579.678ms, 1
2, 2, 0.018ms, 0.26ms, 516.934ms, 1
3, 3, 0.028ms, 0.296ms, 622.351ms, 1
4, 4, 0.018ms, 0.414ms, 517.561ms, 1
5, 5, 0.03ms, 0.589ms, 518.556ms, 1
7, 7, 0.029ms, 0.83ms, 522.407ms, 1
8, 8, 0.037ms, 1.742ms, 585.731ms, 1
10, 10, 0.09ms, 1.352ms, 523.431ms, 1
12, 12, 0.018ms, 1.996ms, 504.342ms, 1
13, 13, 0.019ms, 1.584ms, 518.069ms, 1
1, 15, 0.018ms, 2.017ms, 523.751ms, 1
17, 17, 0.028ms, 2.152ms, 525.302ms, 1
19, 19, 0.02ms, 2.488ms, 519.99ms, 1
21, 21, 0.03ms, 3.032ms, 558.176ms, 1
22, 22, 0.018ms, 2.519ms, 529.716ms, 1
23, 23, 0.018ms, 3.231ms, 540.298ms, 1
24, 24, 0.022ms, 3.287ms, 543.878ms, 1
25, 25, 0.022ms, 3.341ms, 526.831ms, 1
26, 26, 0.029ms, 3.304ms, 537.312ms, 1



