 1, 1, 0.01ms, 0.235ms, 17.795ms, 1
 2, 2, 0.007ms, 0.265ms, 2.547ms, 1
 3, 3, 0.01ms, 0.375ms, 2.676ms, 1
 4, 4, 0.011ms, 0.554ms, 7.514ms, 1
 5, 5, 0.01ms, 0.622ms, 3.227ms, 1
 6, 6, 0.01ms, 0.808ms, 3.708ms, 1
 7, 7, 0.007ms, 1.273ms, 3.235ms, 1
 8, 8, 0.01ms, 1.067ms, 7.582ms, 1
 9, 9, 0.008ms, 1.616ms, 13.019ms, 1
 10, 10, 0.009ms, 1.486ms, 3.653ms, 1
 11, 11, 0.01ms, 3.579ms, 9.155ms, 1
 12, 12, 0.01ms, 2.289ms, 13.444ms, 1
 13, 13, 0.008ms, 2.53ms, 6.037ms, 1
 14, 14, 0.01ms, 6.474ms, 16.319ms, 1
 15, 15, 0.008ms, 2.053ms, 6.542ms, 1
 1, 1, 0.007ms, 0.207ms, 1.657ms, 1
 2, 2, 0.007ms, 0.427ms, 2.409ms, 1
 3, 3, 0.008ms, 0.485ms, 2.889ms, 1
 4, 4, 0.008ms, 0.423ms, 2.693ms, 1
 5, 5, 0.007ms, 0.551ms, 2.438ms, 1
 6, 6, 0.01ms, 0.74ms, 6.426ms, 1
 7, 7, 0.007ms, 0.772ms, 3.544ms, 1
 8, 8, 0.007ms, 2.246ms, 5.529ms, 1
 9, 9, 0.011ms, 4.314ms, 6.529ms, 1
 10, 10, 0.009ms, 2.101ms, 7.789ms, 1
 11, 11, 0.007ms, 1.757ms, 5.159ms, 1
 12, 12, 0.008ms, 1.884ms, 7.585ms, 1
 13, 13, 0.007ms, 1.463ms, 4.38ms, 1
 14, 14, 0.01ms, 2.919ms, 7.583ms, 1
 15, 15, 0.007ms, 1.777ms, 4.805ms, 1
 1, 1, 0.006ms, 24.484ms, 4250.2ms, 7
 2, 2, 0.013ms, 27.409ms, 4562.39ms, 7
 1, 1, 0.008ms, 0.317ms, 4233.89ms, 7
 2, 2, 0.008ms, 0.859ms, 4122.86ms, 7
 3, 3, 0.009ms, 0.402ms, 4512.91ms, 7
 4, 4, 0.007ms, 0.502ms, 3911.15ms, 7
 5, 5, 0.007ms, 0.608ms, 5356.92ms, 7
 6, 6, 0.009ms, 0.756ms, 6895.03ms, 7
 7, 7, 0.012ms, 2.052ms, 6237.16ms, 7
 8, 8, 0.01ms, 1.847ms, 6409.77ms, 7
 9, 9, 0.009ms, 1.207ms, 5362.12ms, 7
 10, 10, 0.015ms, 1.827ms, 6171.9ms, 7
 11, 11, 0.007ms, 1.418ms, 5313.99ms, 7
 12, 12, 0.009ms, 2.729ms, 5197.96ms, 7
 13, 13, 0.007ms, 11.52ms, 4563.65ms, 7
